PartName,GadgetronPN,SeeedPN,SeeedManufacturerPartNumber,SeeedDescription,SeeedCategory,SeeedPackage,Manufacturer,Datasheet,Seeed3D-Module,DigikeyPartNumber,SeeedMouserPartNumber,Creator,Reviewer,Datasheet2,Datasheet3,Datasheet4,Cost,Value,Resistance,Capacitance,Material,Inductance,Tolerance,Voltage,Power,PrimarySupplier,PrimarySupplierPartNumber,SecondarySupplier,SecondarySupplierPartNumber,NonPopulated,Comments
HEADER-1X6-2.54MM-MALE-BLACK,Seeed3460650P1,3460650P1,,DIP Black Male Header,Connector,1X6P-2.54-2.54-11.6/3.0,YXCON,3460650P1.pdf,1X6P-2.54-2.54-11.6-3.0 BLACK MALE,609-3256-ND(compatible),,Swanson,Swanson,,,,,,,,,,,,,,,,,,
HEADER-1X3-2.54MM-MALE-BLACK,Seeed3460810P1,3460810P1,,BERGSTIK II .100in SR STRAIGHT,Connector,1X3P-2.54-2.54-11.6/3.0,YXCON,3460810P1.pdf,1X3P-2.54-2.54-11.6-3.0-BLACK-_MALE,609-3461-ND(compatible),,Swanson,Swanson,,,,,,,,,,,,,,,,,,
HEADER-1X8-2.54MM-MALE-BLACK,Seeed3461050P1,3461050P1,,CONN HEADER 8POS .100 STR,Connector,1X8P-2.54-2.54-11.6/3.0,YXCON,3461050P1.pdf,1X8P-2.54-2.54-11.6-3.0 BLACK MALE,609-3300-ND(compatible),,Swanson,,,,,,,,,,,,,,,,,,,
HEADER-2X3-2.54MM-FEMALE-LONG-TAILS,Seeed3461240P1,3461240P1,,DIP Long Blue Female Header,Connector,2X3P-2.54-8.5+1.5-12.3,YXCON,3461240P1.pdf,2X3P-2.54-8.5+1.5-12.3 BLUE FEMALE,,,Swanson,,,,,,,,,,,,,,,,,,,
HEADER-1X6-2.54MM-FEMALE-LONG-TAILS,Seeed3461250P1,3461250P1,,DIP Long Blue Female Header,Connector,1X6P-2.54-8.5+2.5-12.3,YXCON,3461250P1.pdf,1X6P-2.54-8.5+2.5-12.3 BLUE FEMALE,,,Swanson,,,,,,,,,,,,,,,,,,,
HEADER-1X8-2.54MM-FEMALE-LONG-TAILS,Seeed3461260P1,3461260P1,,DIP Long Blue Female Header,Connector,1X8P-2.54-8.5+2.5-12.3,YXCON,3461260P1.pdf,1X8P-2.54-8.5+2.5-12.3,,,Swanson,,,,,,,,,,,,,,,,,,,
RES-22-0603-5%,Seeed0010010P1,0010010P1,RC0603JR-0722RL,SMD RES 22R-5%-1/10W,Resistor,603,YAGEO,0010010P1.pdf,Resistor0603,311-22GRTR-ND,603-RC0603JR-0722RL,Swanson,,,,,,22,22,,,,5%,,,,,,,,
RES-4.7K-0603-5%,Seeed0010030P1,0010030P1,RC0603JR-074K7L,SMD RES 4.7K-5%-1/10W,Resistor,603,YAGEO,0010030P1.pdf,Resistor0603,311-4.7KGRTR-ND,603-RC0603JR-074K7L,Swanson,,,,,,4.7k,4.7k,,,,5%,,,,,,,,
RES-1K-0603-5%,Seeed0010060P1,0010060P1,RC0603JR-071KL,SMD RES 1K-5%-1/10W,Resistor,603,YAGEO,0010060P1.pdf,Resistor0603,311-1.0KGRTR-ND,603-RC0603JR-071KL,Swanson,,,,,,1k,1k,,,,5%,,,,,,,,
RES-0-0603-5%,Seeed0010070P1,0010070P1,RC0603JR-070RL,SMD RES 0R-5%-1/10W,Resistor,603,YAGEO,0010070P1.pdf,Resistor0603,311-0.0GRCT-ND,603-RC0603JR-070RL,Swanson,,,,,,0,0,,,,5%,,,,,,,,
RES-10K-0603-5%,Seeed0010170P1,0010170P1,RC0603JR-0710KL,SMD RES 10K-5%-1/10W,Resistor,603,YAGEO,0010170P1.pdf,Resistor0603,311-10KGRTR-ND,603-RC0603JR-0710KL,Swanson,,,,,,10k,10k,,,,5%,,,,,,,,
RES-75-0603-5%,Seeed0010220P1,0010220P1,RC0603JR-0775RL,SMD RES 75R-5%-1/10W,Resistor,603,YAGEO,0010220P1.pdf,Resistor0603,311-75GRTR-ND,603-RC0603JR-0775RL,Swanson,,,,,,75,75,,,,5%,,,,,,,,
RES-330-0603-5%,Seeed0010430P1,0010430P1,RC0603JR-07330RL,SMD RES 330R-5%-1/10W,Resistor,603,YAGEO,0010430P1.pdf,Resistor0603,311-330GRTR-ND,603-RC0603JR-07330RL,Swanson,,,,,,330,330,,,,5%,,,,,,,,
RES-49.9-0603-1%,Seeed0010570P1,0010570P1,RC0603FR-0749R9L,SMD RES 49.9R-1%-1/10W,Resistor,603,YAGEO,0010570P1.pdf,Resistor0603,311-49.9HRCT-ND,603-RC0603FR-0749R9L,Swanson,,,,,,49.9,49.9,,,,1%,,,,,,,,
RES-390-0603-5%,Seeed0010600P1,0010600P1,RC0603JR-07390RL,SMD RES 390R-5%-1/10W,Resistor,603,YAGEO,0010600P1.pdf,Resistor0603,311-390GRCT-ND,603-RC0603JR-07390RL,Swanson,,,,,,390,390,,,,5%,,,,,,,,
RES-1K-0603-1%,Seeed0011090P1,0011090P1,RC0603FR-071KL,SMD RES 1K-1%-1/10W,Resistor,603,YAGEO,0011090P1.pdf,Resistor0603,311-1.00KHRCT-ND,603-RC0603FR-071KL,Swanson,,,,,,1k,1k,,,,1%,,,,,,,,
RES-10K-0603-1%,Seeed0011240P1,0011240P1,RC0603FR-0710KL,SMD RES 10K-1%-1/10W,Resistor,603,YAGEO,0011240P1.pdf,Resistor0603,311-10.0KHRCT-ND,603-RC0603FR-0710KL,Swanson,,,,,,10k,10k,,,,1%,,,,,,,,
RES-330-0603-1%,Seeed0011330P1,0011330P1,RC0603FR-07330RL,SMD RES 330R-1%-1/10W,Resistor,603,YAGEO,0011330P1.pdf,Resistor0603,311-330HRCT-ND,603-RC0603FR-07330RL,Swanson,,,,,,330,330,,,,1%,,,,,,,,
RES-8.2K-0805-5%,Seeed0020360P1,0020360P1,RC0805JR-078K2L,SMD RES 8.2K-5%-1/8W,Resistor,805,YAGEO,0020360P1.pdf,Resistor0805,311-8.2KARCT-ND,603-RC0805JR-078K2L,Swanson,,,,,,8.2k,8.2k,,,,5%,,,,,,,,
RES-100-1206-5%,Seeed0030110P1,0030110P1,RC1206JR-07100RL,SMD RES 100R-5%-1/4W,Resistor,1206,YAGEO,0030110P1.pdf,Resistor1206,311-100ERCT-ND,603-RC1206JR-07100RL,Swanson,,,,,,100,100,,,,5%,,,,,,,,
RES-ARRAY-4X1-4.7K-10%,Seeed0040040P1,0040040P1,,SMD RES ARRAY 4.7K OHM 4 RES 1206,Resistor,1206-8-3.2X1.6,,0040040P1.pdf,Resisitor1206-8,YC164J-4.7KCT-ND,603-YC164-JR-074K7L,Swanson,,,,,,4.7k,4.7k,,,,10%,,,,,,,,
RES-ARRAY-4X1-10K-10%,Seeed0040070P1,0040070P1,,SMD RES ARRAY 10K OHM 4 RES 1206,Resistor,1206-8,Royalohm,0040070P1.pdf,Resisitor1206-8,,,Swanson,,,,,,10k,10k,,,,10%,,,,,,,,
,Seeed0210410P1,0210410P1,SPD3D16-4R7M,SMD Power Inductor 4.7uH-20%,Inductor,SMD-2P-3.9X3.9X2.0H,CODACA,0210410P1.pdf,SMD-2P-3.9X3.9X2.0H,,,,,,,,,,,,,,,,,,,,,,
,Seeed0300040P1,0300040P1,1N4007,DIODE GEN PURPOSE 1KV 1A,Diode,DO-214AC,CJ,0300040P1.pdf,DO-214AC,,,,,,,,,,,,,,,,,,,,,,
,Seeed0300060P1,0300060P1,1N4148,,Diode,LL-34,CJ,0300060P1.pdf,LL-34,,,,,,,,,,,,,,,,,,,,,,
,Seeed0300070P1,0300070P1,1N5819,SMD Diode Schottky 40V-1A,Diode,DO-214AC,,0300070P1.pdf,DO-214AC,,,,,,,,,,,,,,,,,,,,,,
DIODE-SCHOTKY-40V-5A,Seeed0310130P1,0310130P1,SS54B,,Diode,SMB,,0310130P1.pdf,SMB,,,Swanson,,,,,,,,,,,,,,,,,,,
LED-GREEN-CLEAR-0603,Seeed0330010P1,0330010P1,19-217-G7C-AN1P2-3T,SMD LED Clear-Green,Diode,603,Everlight,0330010P1.pdf,LED-0603,,,Swanson,,,,,,,,,,,,,,,,,,,
LED-RED-DIFFUSE-0603,Seeed0330020P1,0330020P1,19-217-R6C-AL1M2VY-3T,LED-SMD Red Diffused,Diode,603,Everlight,0330020P1.pdf,LED-0603,,638-19217R6CAL1M2VY3,Swanson,,,,,,,,,,,,,,,,,,,
LED-YELLOW-CLEAR-0603,Seeed0330050P1,0330050P1,19-217-Y5C-AM1N1VY-3T,SMD LED Clear-Yellow,Diode,603,Everlight,0330050P1.pdf,LED-0603,,,Swanson,,,,,,,,,,,,,,,,,,,
LED-BLUE-CLEAR-0603,Seeed0330060P1,0330060P1,19-217-BHC-ZL1M2RY-3T,SMD LED Clear-Blue,Diode,603,Everlight,0330060P1.pdf,LED-0603,,,Swanson,,,,,,,,,,,,,,,,,,,
,Seeed0390030P1,0390030P1,SS0520-7-F,,Diode,SOD-123,,0390030P1.pdf,SOD-123,,,,,,,,,,,,,,,,,,,,,,
,Seeed0390080P1,0390080P1,CESD5V0D1,SMD Diode TVS 6.2V-250mV,Diode,SOD-123,CJ,0390080P1.pdf,SOD-123,,,,,,,,,,,,,,,,,,,,,,
,Seeed0400000P1,0400000P1,S9013,SMD Transistors NPN 25V-500mA,Transistor,SOT-23,CJ,0400000P1.pdf,SOT-23,,,,,,,,,,,,,,,,,,,,,,
,Seeed0410030P1,0410030P1,S8550,,Transistor,SOT-23,,0410030P1.pdf,SOT-23,,,,,,,,,,,,,,,,,,,,,,
,Seeed0440200P1,0440200P1,CJ2302,SMD MOSFET N-CH 20V 2.1A,Transistor,SOT-23,CJ,0440200P1.pdf,SOT-23,,,,,,,,,,,,,,,,,,,,,,
MOSFETP-8V-4.1A-SOT23,Seeed0440210P1,0440210P1,CJ2305,SMD MOSFET P-CH -8V -4.1A,Transistor,SOT-23,CJ,0440210P1.pdf,SOT-23,,,,,,,,,,,,,,,,,,,,,,
,Seeed0500290P1,0500290P1,X053201602002,16MHz-8pF-20ppm-40R,Crystal Oscillator,2P-SMD-5.0X3.2,JINGPENGYUAN,0500290P1.pdf,2P-SMD-5.0X3.2,,,,,,,,,,,,,,,,,,,,,,
,Seeed0900020P1,0900020P1,KT8-1000SMD1206,SMD PPTC 1000mA-8V,Fuse,1206,TIANRUI,0900020P1.pdf,Fuse1206,,,,,,,,,,,,,,,,,,,,,,
,Seeed0900030P1,0900030P1,,PPTC-500mA,Fuse,1206,TIANRUI,0900030P1.pdf,Fuse1206,,,,,,,,,,,,,,,,,,,,,,
,Seeed0900120P1,0900120P1,BLM18AG121SN1D,SMD FERRITE CHIP 120 OHM 500MA,Inductor,603,Murata,0900120P1.pdf,Inductor0603,490-1011-1-ND(compatible),81-BLM11A121S(compatible),,,,,,,,,,,,,,,,,,,,
,Seeed0900390P1,0900390P1,,SMD PPTC-500mA-15V,Fuse,1812,TIANRUI,0900390P1.pdf,Fuse1812,,,,,,,,,,,,,,,,,,,,,,
,Seeed1030050P1,1030050P1,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH,IC,28-DIP,Atmel,1030050P1.pdf,28-DIP,ATMEGA328P-PU-ND,556-ATMEGA328P-PU,,,,,,,,,,,,,,,,,,,,
,Seeed1030060P1,1030060P1,ATMEGA328P-AU,IC MCU 8BIT 32KB FLASH 32TQFP,IC,32-TQFP,Atmel,1030060P1.pdf,32-TQFP,ATMEGA328P-AU-ND,556-ATMEGA328P-AU,,,,,,,,,,,,,,,,,,,,
,Seeed1050030P1,1050030P1,74VHC125PW,IC BUFFER/LINE DVR QUAD 14TSSOP,IC,14-TSSOP,NXP Semiconductors,1050030P1.pdf,14-TSSOP,568-5168-1-ND,771-74VHC125PW118,,,,,,,,,,,,,,,,,,,,
,Seeed1100030P1,1100030P1,LMV324IDR,IC OPAMP GP R-R 1MHZ QUAD,IC,14-SOIC,Texas Instruments,1100030P1.pdf,14-SOIC,296-9569-1-ND,595-LMV324IDR,,,,,,,,,,,,,,,,,,,,
,Seeed1300040P1,1300040P1,CJ78M05,Three-terminal positive voltage regulator 0.5A 5V,IC,TO-252,CJ,1300040P1.pdf,TO-252,,,,,,,,,,,,,,,,,,,,,,
,Seeed1300180P1,1300180P1,MIC5205-3.3YM5,IC REG LDO 3.3V 0.15A,IC,SOT23-5,Micrel Inc,1300180P1.pdf,SOT23-5,576-1259-1-ND,998-MIC5205-3.3YM5TR,,,,,,,,,,,,,,,,,,,,
,Seeed1300260P1,1300260P1,XC6206P332MR-G,,IC,SOT-23,TOREX,1300260P1.pdf,SOT-23,,,,,,,,,,,,,,,,,,,,,,
,Seeed1310120P1,1310120P1,CJA1117B-3.3,1A LOW DROPOUT LINEAR REGULATOR 3.3V,IC,SOT-89,CJ,1310120P1.pdf,SOT-89,,,,,,,,,,,,,,,,,,,,,,
,Seeed1310170P1,1310170P1,CJT1117-5.0,1A LOW DROPOUT LINEAR REGULATOR 5V,IC,SOT-223,CJ,1310170P1.pdf,SOT-223,,,,,,,,,,,,,,,,,,,,,,
,Seeed1310190P1,1310190P1,CJT1117-3.3,1A LOW DROPOUT LINEAR REGULATOR 3.3V,IC,SOT-223,CJ,1310190P1.pdf,SOT-223,,,,,,,,,,,,,,,,,,,,,,
,Seeed1720010P1,1720010P1,FT232RL,IC USB FS SERIAL UART,IC,28-SSOP,FTDI,1720010P1.pdf,28-SSOP,768-1007-2-ND,895-FT232RL,,,,,,,,,,,,,,,,,,,,
,Seeed3100060P1,3100060P1,TS-1188E,SMD Button,Connector,4P-SMD-7.0X3.5X3.5H-90D,BEST,3100060P1.pdf,4P-SMD-7.0X3.5X3.5H-90D,,,,,,,,,,,,,,,,,,,,,,
,Seeed3400020P1,3400020P1,ST-USB-002A,CONN USB RCPT MINI B 5PS R/A SMD,Connector,MINI-B-SMD,SUNTECH,3400020P1.pdf,MINI-B-SMD,670-1190-1-ND(compatible),,,,,,,,,,,,,,,,,,,,,
,Seeed3400150P1,3400150P1,ST-USB-001E,MICRO USB B SMD R/A,Connector,B-SMD-5P,SUNTECH,3400150P1.pdf,B-SMD-5P,H11634CT-ND(compatible),798-ZX62-B-5PA11(compatible),,,,,,,,,,,,,,,,,,,,
,Seeed3410010P1,3410010P1,,Jack DC-044-A,Connector,PW-3P-2.1,BEST,3410010P1.pdf,DC-044-A,,,,,,,,,,,,,,,,,,,,,,
,Seeed3410050P1,3410050P1,,CONN HEADER PH SIDE 2POS 2MM SMD,Connector,2P-SMD-2.0-90D,,3410050P1.pdf,2P-SMD-2.0-90D,455-1749-1-ND(compatible),,,,,,,,,,,,,,,,,,,,,
,Seeed3410070P1,3410070P1,,CONN HEADER PH SIDE 2POS 2MM,Connector,2P-2.0-90D,,3410070P1.pdf,2P-2.0-90D,455-1719-ND(compatible),,,,,,,,,,,,,,,,,,,,,
,Seeed3450020P1,3450020P1,,CONN RECPT ULTRA-MINI COAX SMD,Connector,U-FL,I-PEX,3450020P1.pdf,U-FL,H9161CT-ND(compatible),798-U.FL-R-SMT10(compatible),,,,,,,,,,,,,,,,,,,,
,Seeed3460440P1,3460440P1,,CONN JUMPER SHORTING,Connector,2P-2.54,TAIFENG,3460440P1.pdf,2P-2.54,S9002-ND(compatible),,,,,,,,,,,,,,,,,,,,,
,Seeed3470070P1,3470070P1,,Screw Terminal,Connector,2P-3.5,GOOSVN,3470070P1.pdf,2P-3.5,,651-1984617 (compatible),,,,,,,,,,,,,,,,,,,,
,Seeed3470080P1,3470080P1,,Screw Terminal,Connector,3P-5.0,GOOSVN,3470080P1.pdf,3P-5.0,,,,,,,,,,,,,,,,,,,,,,
,Seeed3470090P1,3470090P1,,SMD Grove,Connector,4P-SMD-2.0,,3470090P1.pdf,4P-SMD-2.0,,,,,,,,,,,,,,,,,,,,,,
,Seeed3470110P1,3470110P1,,Screw Terminal,Connector,2P-5.0,GOOSVN,3470110P1.pdf,2P-5.0,,,,,,,,,,,,,,,,,,,,,,
,Seeed3470120P1,3470120P1,,SMD Grove,Connector,4P-SMD-2.0-90D,TAIFENG,3470120P1.pdf,4P-SMD-2.0-90D,,,,,,,,,,,,,,,,,,,,,,
,Seeed3470130P1,3470130P1,,DIP Grove,Connector,4P-2.0,TAIFENG,3470130P1.pdf,4P-2.0,,,,,,,,,,,,,,,,,,,,,,
,Seeed3470140P1,3470140P1,,DIP Grove,Connector,4P-2.0-90D,TAIFENG,3470140P1.pdf,4P-2.0-90D,,,,,,,,,,,,,,,,,,,,,,
,Seeed131048001,131048001,XC6204B332MR,,IC,SOT-25,Torex Semiconductor Ltd,131048001.pdf,,893-1064-1-ND,,,,,,,,,,,,,,,,,,,,,
DRIVER-ST-L298-SOIC,Seeed1420010P1,1420010P1,L298P,IC DRIVER FULL DUAL,IC,PowerSO-20,STMicroelectronics,1420010P1.pdf,PowerSO-20,497-1396-5-ND,511-L298P,Swanson,,,,,,,,,,,,,,,,,,,
BUTTON-TACTILE-6.2X6.2MM-TH,Seeed3110040P1,3110040P1,TS-1109,SWITCH TACTILE SPST-NO 0.05A 12V,Connector,4P-6.0X6.0X5.0H,BEST,3110040P1.pdf,4P-6.0X6.0X5.0H,450-1650-ND(compatible),,Swanson,,,,,,,,,,,,,,,,,,,
,Seeed3420050P1,3420050P1,RJ45-MJ88-BX11-RVSL2,,Connector,RJ45,HL,3420050P1.pdf,RJ45-MJ88-BX11-RVSL2,,,,,,,,,,,,,,,,,,,,,,
CAP-100NF-0603-CERAMIC-50V-10%,Seeed0100020P1,0100020P1,CC0603KRX7R9BB104,SMD CAP Ceramic 100nF-50V-10%-X7R,Capacitor,603,YAGEO,0100020P1.pdf,Capacitor0603,311-1344-2-ND,603-CC603KRX7R9BB104,Swanson,,,,,,100nF,,100nF,Ceramic,,10%,50,,,,,,,
CAP-1UF-0603-CERAMIC-25V-10%,Seeed0100340P1,0100340P1,CC0603KRX7R8BB105,SMD CAP Ceramic 1uF-25V-10%-X7R,Capacitor,603,YAGEO,0100340P1.pdf,Capacitor0603,,603-CC603KRX7R8BB105,Swanson,,,,,,1uF,,1uF,Ceramic,,10%,25,,,,,,,
CAP-10NF-0603-CERAMIC-50V-10%,Seeed0100350P1,0100350P1,CC0603KRX7R9BB103,SMD CAP Ceramic 10nF-50V-10%-X7R,Capacitor,603,YAGEO,0100350P1.pdf,Capacitor0603,311-1085-2-ND,603-CC603KRX7R9BB103,Swanson,,,,,,10nF,,10nF,Ceramic,,10%,50,,,,,,,
CAP-1NF-0603-CERAMIC-50V-10%,Seeed0100370P1,0100370P1,CC0603KRX7R9BB102,SMD CAP Ceramic 1nF-50V-10%-X7R,Capacitor,603,YAGEO,0100370P1.pdf,Capacitor0603,311-1080-1-ND,603-CC603KRX7R9BB102,Swanson,,,,,,1nF,,1nF,Ceramic,,10%,50,,,,,,,
CAP-22PF-0603-CERAMIC-50V-5%,Seeed0100620P1,0100620P1,CC0603JRNPO9BN220,SMD CAP Ceramic 22pF-50V-5%-NPO,Capacitor,603,YAGEO,0100620P1.pdf,Capacitor0603,311-1062-1-ND,603-CC603JRNPO9BN220,Swanson,,,,,,22pF,,22pF,Ceramic,,5%,50,,,,,,,
CAP-4.7NF-0603-CERAMIC-50V-10%,Seeed0100850P1,0100850P1,CC0603KRX7R9BB472,SMD CAP Ceramic 4.7nF-50V-10%-X7R,Capacitor,603,YAGEO,0100850P1.pdf,Capacitor0603,311-1083-1-ND,603-C0603KRX7R9BB472,Swanson,,,,,,4.7nF,,4.7nF,Ceramic,,10%,50,,,,,,,
CAP-27PF-0603-CERAMIC-50V-5%,Seeed0100410P1,0100410P1,CC0603JRNPO9BN270,SMD CAP Ceramic 27pF-50V-5%-NPO,Capacitor,603,YAGEO,0100410P1.pdf,Capacitor0603,311-1063-1-ND,603-CC603JRNPO9BN270,Swanson,,,,,,27pF,,27pF,Ceramic,,5%,50,,,,,,,
CAP-8.2PF-0603-CERAMIC-50V-5%,Seeed0100230P1,0100230P1,CC0603DRNPO9BN8R2,SMD CAP Ceramic 8.2pF-50V-0.5pF-NPO,Capacitor,603,YAGEO,0100230P1.pdf,Capacitor0603,,603-CC603DRNPO9BN8R2,Swanson,,,,,,8.2pF,,8.2pF,Ceramic,,5%,50,,,,,,,
CAP-10UF-0805-CERAMIC-25V-10%,Seeed0100080P1,0100080P1,CC0805KKX5R8BB106,SMD CAP Ceramic 10uF-25V-10%-X5R,Capacitor,805,YAGEO,0100080P1.pdf,Capacitor0805,,603-CC805KKX5R8BB106,Swanson,,,,,,10uF,,10uF,Ceramic,,10%,25,,,,,,,
CAP-1UF-0805-CERAMIC-25V-10%,Seeed0100440P1,0100440P1,CC0805KKX7R8BB105,SMD CAP Ceramic 1uF-25V-10%-X7R,Capacitor,805,YAGEO,0100440P1.pdf,Capacitor0805,311-1456-1-ND,603-CC805KKX7R8BB105,Swanson,,,,,,1uF,,1uF,Ceramic,,10%,25,,,,,,,
CAP-POLAR-10UF-1206-TANTALUM-16V-10%,Seeed0130050P1,0130050P1,TAJA106K016RNJ,SMD CAP Tantalum 10uF-16V 10%,Capacitor,AVX-A,AVX,0130050P1.pdf,AVX-A,478-1655-1-ND,581-TAJA106K016R,Swanson,,,,,,10uF,,10uF,Tantalum,,10%,16,,,,,,,
CAP-POLAR-10UF-1206-TANTALUM-10V-10%,Seeed0130040P1,0130040P1,TAJA106K010RNJ,SMD CAP Tantalum 10uF-10V 10%,Capacitor,AVX-A,AVX,0130040P1.pdf,AVX-A,478-1654-1-ND,581-TAJA106K010,Swanson,,,,,,10uF,,10uF,Tantalum,,10%,10,,,,,,,
