"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Voltage - Zener (Nom) (Vz),Tolerance,Power - Max,Impedance (Max) (Zzt),Current - Reverse Leakage @ Vr,Voltage - Forward (Vf) (Max) @ If,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Target Voltage,Stock,Query,Package,Column4
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z4V7ST1GOSCT-ND,MM3Z4V7ST1G,ON Semiconductor,DIODE ZENER 4.7V 200MW SOD323,26247,0,0.15,0,1,Cut Tape (CT),-,4.7V,Â±2%,200mW,80 Ohm,3ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V1ST1GOSCT-ND,MM3Z5V1ST1G,ON Semiconductor,DIODE ZENER 5.1V 200MW SOD323,34534,0,0.15,0,1,Cut Tape (CT),-,5.1V,Â±2%,200mW,60 Ohm,2ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,5.1VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V1T1GOSCT-ND,MM3Z5V1T1G,ON Semiconductor,DIODE ZENER 5.1V 200MW SOD323,31424,0,0.15,0,1,Cut Tape (CT),-,5.1V,Â±6%,200mW,60 Ohm,2ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V6ST1GOSCT-ND,MM3Z5V6ST1G,ON Semiconductor,DIODE ZENER 5.6V 200MW SOD323,73259,0,0.15,0,1,Cut Tape (CT),-,5.6V,Â±2%,200mW,40 Ohm,1ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V6T1GOSCT-ND,MM3Z5V6T1G,ON Semiconductor,DIODE ZENER 5.6V 200MW SOD323,6925,0,0.15,0,1,Cut Tape (CT),-,5.6V,Â±7%,200mW,40 Ohm,1ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z6V2ST1GOSCT-ND,MM3Z6V2ST1G,ON Semiconductor,DIODE ZENER 6.2V 200MW SOD323,52767,0,0.15,0,1,Cut Tape (CT),-,6.2V,Â±2%,200mW,10 Ohm,3ÂµA @ 4V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z6V2T1GOSCT-ND,MM3Z6V2T1G,ON Semiconductor,DIODE ZENER 6.2V 200MW SOD323,985,0,0.15,0,1,Cut Tape (CT),-,6.2V,Â±6%,200mW,10 Ohm,3ÂµA @ 4V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z6V8T1GOSCT-ND,MM3Z6V8T1G,ON Semiconductor,DIODE ZENER 6.8V 200MW SOD323,54973,0,0.15,0,1,Cut Tape (CT),-,6.8V,Â±6%,200mW,15 Ohm,2ÂµA @ 4V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z6V8ST1GOSCT-ND,MM3Z6V8ST1G,ON Semiconductor,DIODE ZENER 6.8V 200MW SOD323,26177,0,0.15,0,1,Cut Tape (CT),-,6.8V,Â±2%,200mW,15 Ohm,2ÂµA @ 4V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z7V5ST1GOSCT-ND,MM3Z7V5ST1G,ON Semiconductor,DIODE ZENER 7.5V 200MW SOD323,60885,0,0.15,0,1,Cut Tape (CT),-,7.5V,Â±2%,200mW,15 Ohm,1ÂµA @ 5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z7V5T1GOSCT-ND,MM3Z7V5T1G,ON Semiconductor,DIODE ZENER 7.5V 200MW SOD323,32088,0,0.15,0,1,Cut Tape (CT),-,7.5V,Â±6%,200mW,15 Ohm,1ÂµA @ 5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z8V2ST1GOSCT-ND,MM3Z8V2ST1G,ON Semiconductor,DIODE ZENER 8.2V 200MW SOD323,42424,0,0.15,0,1,Cut Tape (CT),-,8.2V,Â±2%,200mW,15 Ohm,700nA @ 5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,8.2VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z8V2T1GOSCT-ND,MM3Z8V2T1G,ON Semiconductor,DIODE ZENER 8.2V 200MW SOD323,33671,0,0.15,0,1,Cut Tape (CT),-,8.2V,Â±6%,200mW,15 Ohm,700nA @ 5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,SZMM3Z8V2T1GOSCT-ND,SZMM3Z8V2T1G,ON Semiconductor,DIODE ZENER 8.2V 200MW SOD323,2961,3000,0.31,0,1,Cut Tape (CT),"Automotive, AEC-Q101",8.2V,Â±6%,200mW,15 Ohm,700nA @ 5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z9V1T1GOSCT-ND,MM3Z9V1T1G,ON Semiconductor,DIODE ZENER 9.1V 200MW SOD323,35400,0,0.15,0,1,Cut Tape (CT),-,9.1V,Â±6%,200mW,15 Ohm,200nA @ 7V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z10VST1GOSCT-ND,MM3Z10VST1G,ON Semiconductor,DIODE ZENER 10V 200MW SOD323,26842,0,0.15,0,1,Cut Tape (CT),-,10V,Â±2%,200mW,15 Ohm,500nA @ 6V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,10VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z10VT1GOSCT-ND,MM3Z10VT1G,ON Semiconductor,DIODE ZENER 10V 200MW SOD323,36340,0,0.15,0,1,Cut Tape (CT),-,10V,Â±6%,200mW,20 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z11VT1GOSCT-ND,MM3Z11VT1G,ON Semiconductor,DIODE ZENER 11V 200MW SOD323,4801,0,0.15,0,1,Cut Tape (CT),-,11V,Â±5%,200mW,20 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z12VT1GOSCT-ND,MM3Z12VT1G,ON Semiconductor,DIODE ZENER 12V 200MW SOD323,69172,0,0.15,0,1,Cut Tape (CT),-,12V,Â±5%,200mW,25 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z12VST1GOSCT-ND,MM3Z12VST1G,ON Semiconductor,DIODE ZENER 12V 200MW SOD323,14016,0,0.15,0,1,Cut Tape (CT),-,12V,Â±2%,200mW,25 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z13VT1GOSCT-ND,MM3Z13VT1G,ON Semiconductor,DIODE ZENER 13V 200MW SOD323,56368,48000,0.15,0,1,Cut Tape (CT),-,13V,Â±6%,200mW,30 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z15VST1GOSCT-ND,MM3Z15VST1G,ON Semiconductor,DIODE ZENER 14.66V 200MW SOD323,55245,0,0.15,0,1,Cut Tape (CT),-,14.66V,Â±2%,200mW,40 Ohm,100nA @ 11V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z15VT1GOSCT-ND,MM3Z15VT1G,ON Semiconductor,DIODE ZENER 15V 200MW SOD323,37226,0,0.15,0,1,Cut Tape (CT),-,15V,Â±5%,200mW,30 Ohm,50nA @ 10.5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,15VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z16VT1GOSCT-ND,MM3Z16VT1G,ON Semiconductor,DIODE ZENER 16V 200MW SOD323,27571,0,0.15,0,1,Cut Tape (CT),-,16V,Â±6%,200mW,40 Ohm,50nA @ 11.2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z16VST1GOSCT-ND,MM3Z16VST1G,ON Semiconductor,DIODE ZENER 16.18V 200MW SOD323,34071,0,0.15,0,1,Cut Tape (CT),-,16.18V,Â±2%,200mW,40 Ohm,50nA @ 11.2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4ST1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z18VST1GOSCT-ND,MM3Z18VST1G,ON Semiconductor,DIODE ZENER 18V 200MW SOD323,47704,0,0.15,0,1,Cut Tape (CT),-,18V,Â±2%,200mW,45 Ohm,50nA @ 12.6V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z18VT1GOSCT-ND,MM3Z18VT1G,ON Semiconductor,DIODE ZENER 18V 200MW SOD323,43218,0,0.15,0,1,Cut Tape (CT),-,18V,Â±6%,200mW,45 Ohm,50nA @ 12.6V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z20VT1GOSCT-ND,MM3Z20VT1G,ON Semiconductor,DIODE ZENER 20V 200MW SOD323,27370,153000,0.15,0,1,Cut Tape (CT),-,20V,Â±6%,200mW,55 Ohm,50nA @ 14V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,20VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z24VT1GOSCT-ND,MM3Z24VT1G,ON Semiconductor,DIODE ZENER 24V 200MW SOD323,14794,0,0.15,0,1,Cut Tape (CT),-,24V,Â±6%,200mW,70 Ohm,50nA @ 16.8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z27VT1GOSCT-ND,MM3Z27VT1G,ON Semiconductor,DIODE ZENER 27V 200MW SOD323,19125,0,0.15,0,1,Cut Tape (CT),-,27V,Â±7%,200mW,80 Ohm,50nA @ 18.9V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z33VT1GOSCT-ND,MM3Z33VT1G,ON Semiconductor,DIODE ZENER 33V 200MW SOD323,36470,1248000,0.15,0,1,Cut Tape (CT),-,33V,Â±6%,200mW,80 Ohm,50nA @ 23.2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,Stock,33VStock,,
http://www.onsemi.com/pub_link/Collateral/MM3Z2V4T1-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z36VT1GOSCT-ND,MM3Z36VT1G,ON Semiconductor,DIODE ZENER 36V 200MW SOD323,33255,0,0.15,0,1,Cut Tape (CT),-,36V,Â±6%,200mW,90 Ohm,50nA @ 25.2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4T1.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z6V2T1OSCT-ND,MM3Z6V2T1,ON Semiconductor,DIODE ZENER 6.2V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,6.2V,Â±5%,200mW,10 Ohm,3ÂµA @ 4V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4T1.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z15VT1OSCT-ND,MM3Z15VT1,ON Semiconductor,DIODE ZENER 15V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,15V,Â±5%,200mW,30 Ohm,50nA @ 10.5V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4T1.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z4V7T1OSCT-ND,MM3Z4V7T1,ON Semiconductor,DIODE ZENER 4.7V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,4.7V,Â±6%,200mW,80 Ohm,3ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4T1.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V1T1OSCT-ND,MM3Z5V1T1,ON Semiconductor,DIODE ZENER 5.1V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,5.1V,Â±6%,200mW,60 Ohm,2ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4T1.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z10VT1OSCT-ND,MM3Z10VT1,ON Semiconductor,DIODE ZENER 10V 200MW SOD323,0,0,Call,0,1,Cut Tape (CT),-,10V,Â±5%,200mW,20 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3Z2V4ST1-D.pdf,http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z11VST1GOSCT-ND,MM3Z11VST1G,ON Semiconductor,DIODE ZENER 11V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,11V,Â±2%,200mW,15 Ohm,500nA @ 7V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
"http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3ZxxxST1,ST3.pdf",http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z12VST1OSCT-ND,MM3Z12VST1,ON Semiconductor,DIODE ZENER 12V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,12V,Â±2%,200mW,25 Ohm,100nA @ 8V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
"http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3ZxxxST1,ST3.pdf",http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z18VST1OSCT-ND,MM3Z18VST1,ON Semiconductor,DIODE ZENER 18V 200MW SOD323,0,0,Call,0,1,Cut Tape (CT),-,18V,Â±2%,200mW,45 Ohm,50nA @ 12.6V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
"http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3ZxxxST1,ST3.pdf",http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z4V7ST1OSCT-ND,MM3Z4V7ST1,ON Semiconductor,DIODE ZENER 4.7V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,4.7V,Â±2%,200mW,80 Ohm,3ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
"http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3ZxxxST1,ST3.pdf",http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V1ST1OSCT-ND,MM3Z5V1ST1,ON Semiconductor,DIODE ZENER 5.1V 200MW SOD323,0,0,Call,0,1,Cut Tape (CT),-,5.1V,Â±2%,200mW,60 Ohm,2ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
"http://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MM3ZxxxST1,ST3.pdf",http://media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,MM3Z5V6ST1OSCT-ND,MM3Z5V6ST1,ON Semiconductor,DIODE ZENER 5.6V 200MW SOD323,0,0,Call,0,10,Cut Tape (CT),-,5.6V,Â±2%,200mW,40 Ohm,1ÂµA @ 2V,900mV @ 10mA,-65Â°C ~ 150Â°C,Surface Mount,"SC-76, SOD-323",SOD-323,,,,,
